id,nombre,edad,genero,ciudad,comentario,categoria_del_problema,nivel_de_urgencia,acceso_a_internet,atencion_previa_del_gobierno,zona_rural,año_del_reporte,mes_del_reporte
86,Juan,38,M,Bogotá,necesitamos más acceso a internet en la zona.,Educación,No urgente,0,1,1,2024,4
87,Sofía,75,M,Barranquilla,Sin Comentario,Salud,No urgente,0,1,1,2023,7
88,Pedro,58,Otro,Cúcuta,la contaminación del río está aumentando.,Medio Ambiente,No urgente,1,0,1,2023,6
89,Camilo,61,M,Cúcuta,las basuras no se recogen a tiempo.,Seguridad,Urgente,0,0,0,2024,7
90,Laura,60,F,Cali,faltan médicos en el centro de salud.,Medio Ambiente,No urgente,0,1,1,2023,10
91,Jorge,66,F,Manizales,no hay suficientes escuelas públicas.,Seguridad,Urgente,0,1,1,2023,10
92,Juan,48,M,Bogotá,faltan médicos en el centro de salud.,Seguridad,Urgente,0,0,1,2023,7
93,Sofía,25,M,Medellín,faltan médicos en el centro de salud.,Seguridad,No urgente,0,1,0,2024,2
94,Carlos,48,F,Medellín,queremos más presencia policial.,Seguridad,No urgente,1,1,1,2024,11
95,Jorge,20,Otro,Cali,la contaminación del río está aumentando.,Educación,No urgente,0,1,0,2023,7
96,Juan,31,M,Cartagena,queremos más presencia policial.,Seguridad,Urgente,1,0,0,2024,7
97,Valentina,72,F,Medellín,falta agua potable en varias casas.,Medio Ambiente,Urgente,1,0,0,2023,8
98,Carlos,66,Otro,Manizales,hay problemas con la recolección de basura.,Medio Ambiente,Urgente,0,1,0,2023,1
99,Jorge,67,Otro,Medellín,faltan médicos en el centro de salud.,Salud,No urgente,1,0,1,2024,1
100,Sofía,48,F,Cartagena,queremos más presencia policial.,Salud,Urgente,0,0,1,2024,8
101,Valentina,36,Otro,Cartagena,faltan médicos en el centro de salud.,Seguridad,Urgente,0,0,0,2024,9
102,María,51,M,Barranquilla,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,1,0,1,2024,3
103,Jorge,27,F,Manizales,la contaminación del río está aumentando.,Medio Ambiente,No urgente,0,1,0,2024,5
104,Jorge,44,Otro,Cúcuta,las calles están muy oscuras y peligrosas.,Seguridad,No urgente,1,0,0,2023,2
105,Sofía,50,F,Cúcuta,la contaminación del río está aumentando.,Educación,No urgente,1,0,0,2024,3
106,Ana,19,F,Medellín,faltan médicos en el centro de salud.,Salud,Urgente,1,1,1,2023,9
107,Carlos,48,F,Pereira,la contaminación del río está aumentando.,Medio Ambiente,No urgente,1,0,1,2024,3
108,Jorge,54,F,Medellín,faltan médicos en el centro de salud.,Educación,No urgente,1,1,0,2024,7
109,Valentina,44,F,Cúcuta,faltan médicos en el centro de salud.,Educación,No urgente,0,0,1,2024,8
110,Juan,27,M,Cúcuta,faltan médicos en el centro de salud.,Salud,Urgente,1,0,0,2023,1
111,Juan,74,Otro,Pereira,las basuras no se recogen a tiempo.,Seguridad,Urgente,1,0,0,2023,12
112,Juan,65,Otro,Pereira,hay problemas con la recolección de basura.,Salud,Urgente,1,0,1,2023,4
113,Valentina,32,F,Barranquilla,Sin Comentario,Educación,No urgente,0,0,1,2023,1
114,Carlos,19,Otro,Medellín,queremos más presencia policial.,Seguridad,Urgente,0,1,1,2023,4
115,Camilo,25,Otro,Bogotá,hay problemas con la recolección de basura.,Salud,Urgente,1,1,1,2024,4
116,Jorge,36,Otro,Bogotá,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,0,1,0,2024,2
117,Laura,55,F,Cali,falta agua potable en varias casas.,Medio Ambiente,Urgente,0,1,1,2023,9
118,Jorge,62,F,Cartagena,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,0,1,1,2023,4
119,María,43,F,Bucaramanga,las basuras no se recogen a tiempo.,Educación,No urgente,1,0,1,2023,1
120,Pedro,54,Otro,Santa Marta,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,1,1,0,2023,9
121,Carlos,48,F,Cali,faltan médicos en el centro de salud.,Seguridad,Urgente,1,0,0,2024,3
122,María,65,M,Cartagena,faltan médicos en el centro de salud.,Medio Ambiente,No urgente,0,0,1,2023,7
123,Sofía,66,F,Cartagena,las basuras no se recogen a tiempo.,Medio Ambiente,Urgente,1,1,1,2024,7
124,Ana,31,Otro,Barranquilla,queremos más presencia policial.,Seguridad,No urgente,1,1,0,2024,6
125,Pedro,47,M,Medellín,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,1,0,0,2024,9
126,Juan,61,Otro,Pereira,hay problemas con la recolección de basura.,Educación,No urgente,1,0,0,2023,6
127,Camilo,32,Otro,Bucaramanga,la contaminación del río está aumentando.,Seguridad,Urgente,1,0,0,2023,6
128,Laura,46,M,Pereira,las basuras no se recogen a tiempo.,Educación,Urgente,0,1,1,2024,4
129,Valentina,66,Otro,Pereira,necesitamos más acceso a internet en la zona.,Educación,No urgente,1,0,1,2023,8
130,Valentina,17,M,Bogotá,Sin Comentario,Seguridad,Urgente,0,0,0,2024,5
131,Juan,30,F,Santa Marta,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,1,0,0,2024,7
132,Valentina,65,Otro,Bucaramanga,las basuras no se recogen a tiempo.,Salud,Urgente,1,0,0,2024,1
133,Carlos,15,Otro,Bucaramanga,faltan médicos en el centro de salud.,Seguridad,Urgente,1,0,1,2023,10
134,Camilo,71,F,Pereira,la contaminación del río está aumentando.,Medio Ambiente,Urgente,0,0,0,2023,12
135,Carlos,27,F,Bogotá,las basuras no se recogen a tiempo.,Educación,Urgente,1,0,0,2023,3
136,Jorge,36,M,Bogotá,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,0,1,0,2024,1
137,Sofía,18,Otro,Cartagena,la contaminación del río está aumentando.,Salud,Urgente,0,1,0,2024,4
138,Carlos,28,M,Cúcuta,no tenemos centros culturales ni bibliotecas.,Salud,Urgente,1,0,1,2023,8
139,Carlos,55,M,Medellín,las basuras no se recogen a tiempo.,Salud,No urgente,1,1,1,2024,5
140,Pedro,57,Otro,Pereira,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,1,0,1,2023,11
141,Juan,73,Otro,Bucaramanga,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,1,0,0,2024,3
142,Jorge,27,M,Cúcuta,las basuras no se recogen a tiempo.,Educación,No urgente,1,1,0,2023,9
143,Valentina,60,M,Manizales,no hay suficientes escuelas públicas.,Educación,Urgente,0,1,0,2024,4
144,Laura,71,F,Medellín,falta agua potable en varias casas.,Seguridad,No urgente,1,0,1,2023,11
145,Valentina,48,Otro,Pereira,la contaminación del río está aumentando.,Salud,Urgente,0,1,0,2024,8
146,Jorge,35,M,Santa Marta,queremos más presencia policial.,Medio Ambiente,No urgente,0,0,0,2024,2
147,Valentina,43,F,Barranquilla,no hay suficientes escuelas públicas.,Salud,No urgente,1,1,1,2024,7
148,Ana,16,Otro,Cartagena,la contaminación del río está aumentando.,Salud,No urgente,1,1,1,2024,6
149,Ana,51,F,Cúcuta,falta agua potable en varias casas.,Medio Ambiente,No urgente,1,1,0,2023,2
150,María,55,F,Cúcuta,no tenemos centros culturales ni bibliotecas.,Seguridad,Urgente,1,1,0,2023,12
151,Pedro,60,M,Santa Marta,la contaminación del río está aumentando.,Seguridad,Urgente,0,1,1,2023,6
152,Sofía,52,M,Manizales,falta agua potable en varias casas.,Salud,No urgente,1,1,0,2023,6
153,Laura,48,M,Bogotá,las calles están muy oscuras y peligrosas.,Medio Ambiente,No urgente,1,1,0,2024,2
154,María,79,M,Barranquilla,la contaminación del río está aumentando.,Medio Ambiente,Urgente,0,1,0,2023,2
155,Sofía,40,M,Cúcuta,falta agua potable en varias casas.,Medio Ambiente,No urgente,1,0,1,2024,6
156,Ana,64,F,Cali,no tenemos centros culturales ni bibliotecas.,Seguridad,Urgente,0,0,1,2023,4
157,Camilo,37,Otro,Cartagena,falta agua potable en varias casas.,Educación,No urgente,0,1,0,2023,2
158,Juan,40,F,Bogotá,no hay suficientes escuelas públicas.,Medio Ambiente,Urgente,0,1,0,2023,12
159,Laura,47,F,Santa Marta,falta agua potable en varias casas.,Seguridad,No urgente,0,0,1,2024,11
160,Carlos,18,F,Barranquilla,no hay suficientes escuelas públicas.,Seguridad,Urgente,0,0,1,2023,4
161,Laura,49,Otro,Cali,la contaminación del río está aumentando.,Educación,No urgente,0,0,0,2023,7
162,Carlos,66,M,Manizales,Sin Comentario,Seguridad,Urgente,0,0,0,2024,2
163,Juan,79,F,Bucaramanga,hay problemas con la recolección de basura.,Salud,No urgente,1,0,0,2023,9
164,Juan,21,Otro,Pereira,las basuras no se recogen a tiempo.,Salud,Urgente,1,0,0,2024,1
165,Sofía,39,F,Bogotá,faltan médicos en el centro de salud.,Seguridad,No urgente,0,0,0,2024,2
166,Camilo,79,F,Manizales,no tenemos centros culturales ni bibliotecas.,Seguridad,Urgente,1,0,0,2023,1
167,Jorge,46,F,Barranquilla,las calles están muy oscuras y peligrosas.,Medio Ambiente,Urgente,0,0,1,2023,6
168,Valentina,41,Otro,Bogotá,las calles están muy oscuras y peligrosas.,Seguridad,No urgente,0,1,1,2023,5
169,María,25,Otro,Cali,faltan médicos en el centro de salud.,Educación,No urgente,0,1,0,2023,12
170,Ana,21,Otro,Pereira,las basuras no se recogen a tiempo.,Salud,No urgente,0,1,1,2024,5
171,Carlos,18,F,Bucaramanga,las basuras no se recogen a tiempo.,Seguridad,Urgente,0,0,1,2023,5
172,Carlos,16,Otro,Bogotá,no hay suficientes escuelas públicas.,Seguridad,No urgente,0,1,0,2024,8
173,Ana,78,Otro,Barranquilla,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,No urgente,1,1,1,2024,11
174,Jorge,70,F,Cúcuta,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,0,0,0,2023,4
175,Laura,17,Otro,Cúcuta,queremos más presencia policial.,Educación,No urgente,1,0,0,2023,4
176,Ana,54,M,Manizales,falta agua potable en varias casas.,Salud,Urgente,1,0,0,2024,7
177,Laura,48,Otro,Santa Marta,las basuras no se recogen a tiempo.,Seguridad,Urgente,0,0,0,2023,6
178,Camilo,45,M,Cali,queremos más presencia policial.,Salud,Urgente,1,1,0,2023,3
179,Carlos,72,F,Bucaramanga,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,0,1,0,2023,9
180,Carlos,58,F,Bogotá,la contaminación del río está aumentando.,Seguridad,No urgente,0,1,1,2023,10
181,Laura,30,F,Santa Marta,Sin Comentario,Medio Ambiente,No urgente,0,1,1,2024,4
182,Carlos,42,Otro,Bogotá,la contaminación del río está aumentando.,Educación,Urgente,1,0,1,2024,9
183,Valentina,78,F,Medellín,la contaminación del río está aumentando.,Seguridad,No urgente,0,0,1,2024,2
184,Juan,39,F,Cali,las basuras no se recogen a tiempo.,Salud,Urgente,1,1,0,2024,3
185,Camilo,33,M,Cartagena,las basuras no se recogen a tiempo.,Educación,No urgente,0,1,0,2024,11
186,Juan,43,M,Cartagena,necesitamos más acceso a internet en la zona.,Educación,No urgente,0,0,0,2023,5
187,Pedro,48,Otro,Cartagena,queremos más presencia policial.,Medio Ambiente,No urgente,1,0,1,2024,7
188,Jorge,76,Otro,Santa Marta,no tenemos centros culturales ni bibliotecas.,Seguridad,Urgente,1,0,0,2023,11
189,Jorge,74,F,Barranquilla,faltan médicos en el centro de salud.,Educación,No urgente,1,0,1,2024,11
190,Sofía,80,F,Medellín,necesitamos más acceso a internet en la zona.,Seguridad,Urgente,0,1,0,2024,7
191,María,17,M,Cali,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,0,0,1,2024,3
192,Laura,15,M,Cúcuta,faltan médicos en el centro de salud.,Educación,No urgente,1,0,0,2024,5
193,Camilo,61,F,Cartagena,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,0,1,0,2023,5
194,Valentina,63,F,Cúcuta,falta agua potable en varias casas.,Educación,No urgente,1,0,0,2023,6
195,Pedro,34,Otro,Barranquilla,las calles están muy oscuras y peligrosas.,Medio Ambiente,No urgente,0,0,1,2023,5
196,Pedro,19,Otro,Manizales,hay problemas con la recolección de basura.,Educación,No urgente,1,1,0,2023,10
197,Valentina,52,F,Cali,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,1,1,0,2024,6
198,María,40,F,Pereira,las basuras no se recogen a tiempo.,Educación,Urgente,0,1,1,2023,11
199,María,73,Otro,Barranquilla,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,No urgente,0,0,1,2023,8
200,Carlos,48,M,Medellín,la contaminación del río está aumentando.,Educación,Urgente,0,0,0,2024,1
201,Ana,48,F,Santa Marta,faltan médicos en el centro de salud.,Medio Ambiente,No urgente,0,1,0,2023,9
202,Jorge,60,Otro,Cartagena,faltan médicos en el centro de salud.,Salud,Urgente,1,1,1,2024,6
203,Ana,78,Otro,Cali,no hay suficientes escuelas públicas.,Seguridad,No urgente,1,0,1,2023,1
204,Pedro,27,M,Pereira,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,1,0,1,2024,8
205,Juan,77,M,Bucaramanga,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,1,1,0,2024,5
206,Pedro,27,F,Bucaramanga,Sin Comentario,Medio Ambiente,No urgente,0,0,0,2023,4
207,Sofía,65,M,Cali,queremos más presencia policial.,Educación,Urgente,1,0,1,2024,11
208,Camilo,48,F,Santa Marta,la contaminación del río está aumentando.,Seguridad,No urgente,0,1,1,2023,6
209,Pedro,15,M,Bogotá,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,1,0,0,2023,11
210,Pedro,39,F,Cali,Sin Comentario,Educación,No urgente,0,0,1,2024,4
211,Ana,17,F,Santa Marta,las calles están muy oscuras y peligrosas.,Seguridad,Urgente,0,0,1,2023,3
212,Carlos,64,Otro,Barranquilla,hay problemas con la recolección de basura.,Medio Ambiente,Urgente,1,1,1,2023,6
213,Ana,18,F,Bogotá,falta agua potable en varias casas.,Educación,Urgente,1,0,0,2023,12
214,Jorge,60,M,Santa Marta,la contaminación del río está aumentando.,Seguridad,No urgente,1,0,0,2024,2
215,María,28,F,Medellín,no hay suficientes escuelas públicas.,Salud,No urgente,1,0,0,2023,7
216,Camilo,30,M,Bogotá,necesitamos más acceso a internet en la zona.,Seguridad,Urgente,0,0,0,2023,10
217,Laura,16,M,Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,0,1,0,2024,1
218,Camilo,75,Otro,Cúcuta,falta agua potable en varias casas.,Seguridad,No urgente,0,0,1,2023,1
219,María,22,F,Cartagena,las calles están muy oscuras y peligrosas.,Salud,No urgente,0,0,1,2023,8
220,Carlos,36,Otro,Cartagena,queremos más presencia policial.,Seguridad,Urgente,1,0,1,2024,6
221,Juan,49,Otro,Manizales,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,1,1,1,2024,5
222,Valentina,43,M,Manizales,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,1,1,0,2023,10
223,Camilo,51,Otro,Bogotá,la contaminación del río está aumentando.,Medio Ambiente,No urgente,1,0,0,2024,7
224,María,21,M,Cali,no hay suficientes escuelas públicas.,Medio Ambiente,No urgente,0,1,0,2023,3
225,Ana,72,F,Pereira,falta agua potable en varias casas.,Seguridad,Urgente,1,0,1,2023,9
226,María,48,Otro,Pereira,queremos más presencia policial.,Educación,Urgente,1,0,1,2024,8
227,Jorge,34,Otro,Bucaramanga,no tenemos centros culturales ni bibliotecas.,Salud,Urgente,0,0,0,2024,2
228,Sofía,49,F,Barranquilla,queremos más presencia policial.,Seguridad,Urgente,0,1,0,2023,9
229,Camilo,52,F,Medellín,Sin Comentario,Medio Ambiente,Urgente,0,1,1,2024,11
230,Laura,19,M,Cartagena,queremos más presencia policial.,Educación,No urgente,0,0,0,2024,1
231,Camilo,56,M,Bogotá,faltan médicos en el centro de salud.,Educación,No urgente,1,1,0,2024,2
232,Valentina,17,Otro,Manizales,Sin Comentario,Seguridad,No urgente,0,1,1,2024,11
233,Valentina,61,Otro,Cúcuta,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,1,0,0,2023,8
234,Jorge,65,F,Pereira,queremos más presencia policial.,Educación,No urgente,0,0,0,2024,4
235,Sofía,71,Otro,Bucaramanga,necesitamos más acceso a internet en la zona.,Seguridad,No urgente,1,0,1,2023,8
236,Ana,35,M,Bogotá,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,No urgente,0,0,1,2023,2
237,Juan,34,F,Cartagena,necesitamos más acceso a internet en la zona.,Seguridad,No urgente,1,0,0,2023,10
238,Valentina,78,F,Bogotá,la contaminación del río está aumentando.,Seguridad,No urgente,1,1,1,2023,11
239,Sofía,16,Otro,Cartagena,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,1,1,0,2023,9
240,Sofía,48,F,Barranquilla,falta agua potable en varias casas.,Salud,Urgente,1,1,1,2023,4
241,María,16,M,Barranquilla,no hay suficientes escuelas públicas.,Medio Ambiente,No urgente,1,0,1,2024,7
242,Carlos,58,Otro,Cúcuta,Sin Comentario,Seguridad,No urgente,0,0,0,2024,11
243,Laura,76,F,Cúcuta,faltan médicos en el centro de salud.,Medio Ambiente,No urgente,0,0,0,2024,6
244,Carlos,43,M,Bogotá,queremos más presencia policial.,Medio Ambiente,No urgente,1,1,0,2024,5
245,Sofía,48,F,Bucaramanga,no hay suficientes escuelas públicas.,Salud,Urgente,1,1,1,2024,3
246,Pedro,35,Otro,Cali,falta agua potable en varias casas.,Seguridad,Urgente,0,0,0,2024,2
247,Laura,40,M,Bogotá,queremos más presencia policial.,Medio Ambiente,No urgente,0,0,0,2023,1
248,Valentina,22,M,Cartagena,Sin Comentario,Salud,No urgente,0,1,1,2024,7
249,María,36,F,Cali,las calles están muy oscuras y peligrosas.,Medio Ambiente,No urgente,1,1,0,2024,2
250,Laura,76,F,Santa Marta,no tenemos centros culturales ni bibliotecas.,Salud,No urgente,1,0,1,2023,4
251,Valentina,62,M,Cúcuta,las calles están muy oscuras y peligrosas.,Salud,Urgente,0,1,0,2023,9
252,Pedro,29,M,Bogotá,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,1,0,0,2023,6
253,Sofía,67,M,Cúcuta,hay problemas con la recolección de basura.,Educación,Urgente,1,0,0,2024,7
254,María,62,F,Bucaramanga,Sin Comentario,Medio Ambiente,No urgente,1,0,1,2023,5
255,Laura,78,F,Bogotá,no hay suficientes escuelas públicas.,Salud,No urgente,1,1,1,2023,11
